genre;artist_id
uk pop;5vBSrE1xujD2FXYRarbAXc
spanish rock;4cA5JN7tiNZ8afYeuSQj5h
finnish dance pop;2E5rkwWAKphgpurncaoAyn
spanish pop rock;5gOJTI4TusSENizxhcG7jB
pop;5WUlDfRSoLAfcVSX1WnrxN
opm;7ygtjsCTrCQZAYYPOne9uE
hamburg electronic;0HlxL5hisLf59ETEPM3cUA
thai pop;0TApm3i0QNERy939m3QhaZ
edm;4AVFqumd2ogHFlRbKIjp1t
french hip hop;1rT9J8vtPCzEKL7oGntxnr
mandopop;1cg0bYpP5e2DNG0RgK2CMN
thai indie;2PfxoKmrvMLvTAkn5azNZ6
rap napoletano;00CsjN69YCczmdW0bDKaCC
pop;2WX2uTcsvV5OnS0inACecP
indie electropop;5JSXWmQO8csVUy6hSRu8TA
pop;5cIc3SBFuBLVxJz58W2tU9
latin rock;1Qv4E1VgZOGnOYd99Kp5Bs
argentine hip hop;3hwgckfLtTHdnkf694c7HS
indonesian pop;1ryXwlpQNzkSCfU685Ftx5
finnish pop;6szmr2d0QlRU7EOyXrqGnC
disco house;1bj5GrcLom5gZFF5t949Xl
reggaeton flow;2pG0eQLB8CbmmWWmjJi4yd
electro house;521qvhdobR0GzhvU6TFw76
big room;7iLc4hrjOjQPfg1E3cCHg1
uk hip hop;3dKjmeRZcSUw617CoMzEA0
dutch idol pop;6lNP6HiSpWcr1NpO3MLcXj
indie electropop;0tRFWXqKBBQcu5oFVOgVzX
punk;0qT79UgT5tY4yudH9VfsdT
grime;4E0mDf341TLViBbNefSrsK
dutch trap pop;1EYdbYpGAuJy6uZo4sVMoM
latin;2MRBDr0crHWE5JwPceFncq
malaysian pop;1hioeMAsVwJ3bvcb9lxBpB
canadian indie;3kjuyTCjPG1WMFCiyc5IuB
afroswing;6Ur6METz02CC9zcJWDFicC
dutch trap pop;6bJ0SXA2VXkqXpJBR2SQkf
electro house;4YXycRbyyAE0wozTk7QMEq
swedish pop;3uFum0NCM1PtmCO0MwsOAt
southern hip hop;3KV3p5EY4AvKxOlhGHORLg
classic icelandic pop;0PpNdAPMwg8OJTiNDYBDFp
cumbia;2gDqGAadPIPiA7LtmNn74g
pop nacional;5bzWtCkjIAMgN93gLt56SO
reggaeton flow;6HqgxkTt9KGyt27zYrwVan
pop;45dkTj5sMRSjrmBSBeiHym
cumbia villera;4She1focTkX0pwpJUtS5eo
rap francais;0LnhY2fzptb0QEs5Q5gM7S
southern soul;0HU0U9kdXEHZVxUNbuQe8S
mandopop;1EUq1MC4vfYYxcVK9aJnXf
indietronica;4qOzMSukiZoiSjPQw8Zs7s
turkish trap pop;2sjnyyL9NXijL3Fr2eLikf
brazilian edm;0IVBT8qQNwvHLzOJL6kGpE
house;05z4P0nQO00HG5WeErugd0
dance pop;61lyPtntblHJvA7FMMhi7E
italian arena pop;7dNlfF1yoOCoclHmZuUemi
japanese r&b;5VLVogbPeBgFHXQPZQzBej
partyschlager;2W3QMj8bgNagVT9v9zktdM
progressive house;2rTo8KIkBTFjQS7VvaKYQ4
turkish rock;1hWfWJvstJQPgjZ2vDFY0P
rap baiano;78nr1pVnDR7qZH6QbVMYZf
gangster rap;0NbfKEOTQCcwd6o7wSDOHI
pinoy r&b;3xbpJdoJDLAfYn3ZeLlukg
trap;6aLoJJxz7MV2iZ423S8tJC
c-pop;4ujntV2BGRi7X4UbCmTFX0
